Restaurant Name,Rating,Price Range,Type of food,Phone,Address,Zipcode,City,State,Country,Website,Hours
Señor Frog’s,4.0,$,"American, Mexican",+52 998 886 9292,"Av. Comalcalco S/N, Col. Industrial",77526,Cancún,Quintana Roo,MX,senorfrogscancun.com,
Alas Brasas,,,"American, chicken wings",,"Av. Acueducto 701, Col. San Lucas Xochimanca",16300,"México, D.F.",,MX,,Mon Closed; Tue Closed; Wed Closed; Thu 4:30 pm - 10:00 pm; Fri 4:30 pm - 10:00 pm; Sat 4:30 pm - 10:00 pm; Sun 4:30 pm - 10:00 pm Closed now
Applebee´s Hipódromo,4.0,$$,"American, chicken wings",+52 664 104 1916,"Blvd. Aguacaliente No. 11999, Col Hipódromo Aguacaliente",22044,Tijuana,Baja California,MX,applemex.com/suc_tijuana3.html,
Applebee´s Macroplaza,4.0,$$$,"American, chicken wings",+52 664 627 0800,"Blvd. Insurgentes #18015, Colonia Río Tijuana 3era Etapa",22216,Tijuana,Baja California,MX,applemex.com,
Applebee´s Otay,3.0,$$,"American, chicken wings",+52 664 508 2836,"Plaza Comercial Universitaria, Calz. Tecnológico 14527",22427,Tijuana,Baja California,MX,applebees.com.mx/sucursal/app\u2026,
Arrachera House,4.5,,"American, chicken wings",,"Paseo de la Reforma 222, Col. Juarez",06600,"México, D.F.",,MX,arracherahouse.com.mx,
Atomic Wings,4.0,,"American, chicken wings",,"Abraham González 131, Col. Juárez",09570,"México, D.F.",,MX,atomicwings.com,
BBQ,3.0,$,"American, chicken wings",,Orión Sur 67,72810,San Andrés Cholula,Puebla,MX,,Mon 12:00 pm - 10:00 pm; Tue 12:00 pm - 10:00 pm; Wed 12:00 pm - 10:00 pm; Thu 12:00 pm - 10:00 pm; Fri 12:00 pm - 10:00 pm; Sat 12:00 pm - 10:00 pm; Sun 12:00 pm - 10:00 pm Closed now
BBQ Addiction,4.0,$,"American, chicken wings",+52 33 333 00081,"12 de Diciembre #3070, Chapalita",44510,Guadalajara,Jalisco,MX,bbqaddiction.com.mx,
BBQ Brothers,4.0,$$,"American, chicken wings",,Av. Solidaridad las Torres  250,52172,Metepec,México,MX,,Mon 1:00 pm - 10:00 pm; Tue 1:00 pm - 10:00 pm; Wed 1:00 pm - 10:00 pm; Thu 1:00 pm - 10:00 pm; Fri 1:00 pm - 10:00 pm; Sat 1:00 pm - 10:00 pm; Sun 12:00 pm - 7:00 pm Closed now
BBT,3.0,,"American, chicken wings",+52 999 254 0909,Calle 27 98,97139,Mérida,Yucatán,MX,,Mon 1:00 pm - 1:00 am; Tue 1:00 pm - 1:00 am; Wed 1:00 pm - 1:00 am; Thu 1:00 pm - 1:00 am; Fri 1:00 pm - 2:00 am; Sat 1:00 pm - 2:00 am; Sun 1:00 pm - 12:00 am Closed now
